,ball,batsman,batsman_id,bowler,bowler_id,commentary,innings,overs,playType,runs,runs_scored,score,shortText,speed,text,wickets
155,153,Rohit Sharma,34102,Soumya Sarkar,436677,"Soumya Sarkar to Sharma, no run short of a length on fourth stump, punched off the back foot to extra cover.",1st innings,25.3,no run,163,0,163/0,"Soumya Sarkar to Sharma, no run",,"short of a length on fourth stump, punched off the back foot to extra cover.",0
156,154,Rohit Sharma,34102,Soumya Sarkar,436677,"Soumya Sarkar to Sharma, 1 run good length ball on off stump, flicked through mid-on.",1st innings,25.4,run,164,1,164/0,"Soumya Sarkar to Sharma, 1 run",,"good length ball on off stump, flicked through mid-on.",0
157,155,KL Rahul,422108,Soumya Sarkar,436677,"Soumya Sarkar to Rahul, no run good length ball on off, flicked to midwicket in the ring.",1st innings,25.5,no run,164,0,164/0,"Soumya Sarkar to Rahul, no run",,"good length ball on off, flicked to midwicket in the ring.",0
158,156,KL Rahul,422108,Soumya Sarkar,436677,"Soumya Sarkar to Rahul, no run bouncer over middle stump, Rahul misses a hook. No sound but lots of appeals, more in desperation than anything. No inclination from Mashrafe to go for DRS.",1st innings,25.6,no run,164,0,164/0,"Soumya Sarkar to Rahul, no run",,"bouncer over middle stump, Rahul misses a hook. No sound but lots of appeals, more in desperation than anything. No inclination from Mashrafe to go for DRS.",0
159,157,Rohit Sharma,34102,Shakib Al Hasan,56143,"Shakib Al Hasan to Sharma, 1 run short on fifth stump, guided off the back foot to the sweeper.",1st innings,26.1,run,165,1,165/0,"Shakib Al Hasan to Sharma, 1 run",,"short on fifth stump, guided off the back foot to the sweeper.",0
160,158,KL Rahul,422108,Shakib Al Hasan,56143,"Shakib Al Hasan to Rahul, 1 run fullish length on fifth stump, Rahul gropes forward away from his body and nudges into the off side.",1st innings,26.2,run,166,1,166/0,"Shakib Al Hasan to Rahul, 1 run",,"fullish length on fifth stump, Rahul gropes forward away from his body and nudges into the off side.",0
161,159,Rohit Sharma,34102,Shakib Al Hasan,56143,"Shakib Al Hasan to Sharma, 1 run short of a length on fourth stump and spins away a touch with very slow turn, flicks across the line into midwicket.",1st innings,26.3,run,167,1,167/0,"Shakib Al Hasan to Sharma, 1 run",,"short of a length on fourth stump and spins away a touch with very slow turn, flicks across the line into midwicket.",0
162,160,KL Rahul,422108,Shakib Al Hasan,56143,"Shakib Al Hasan to Rahul, 1 run premeditates a shuffle well across his stumps, Shakib responds by angling this into leg stump, flicked through midwicket.",1st innings,26.4,run,168,1,168/0,"Shakib Al Hasan to Rahul, 1 run",,"premeditates a shuffle well across his stumps, Shakib responds by angling this into leg stump, flicked through midwicket.",0
163,161,Rohit Sharma,34102,Shakib Al Hasan,56143,"Shakib Al Hasan to Sharma, 1 run good length ball on middle, goes back to flick through midwicket.",1st innings,26.5,run,169,1,169/0,"Shakib Al Hasan to Sharma, 1 run",,"good length ball on middle, goes back to flick through midwicket.",0
164,162,KL Rahul,422108,Shakib Al Hasan,56143,"Shakib Al Hasan to Rahul, no run good length ball on fourth stump, no turn, clipped wide of Shakib to his right but he scrambles to deny the run.",1st innings,26.6,no run,169,0,169/0,"Shakib Al Hasan to Rahul, no run",,"good length ball on fourth stump, no turn, clipped wide of Shakib to his right but he scrambles to deny the run.",0
165,163,Rohit Sharma,34102,Soumya Sarkar,436677,"Soumya Sarkar to Sharma, 1 run fullish length on fifth stump, leans into a drive but straight to the cover sweeper for one.",1st innings,27.1,run,170,1,170/0,"Soumya Sarkar to Sharma, 1 run",,"fullish length on fifth stump, leans into a drive but straight to the cover sweeper for one.",0
166,164,KL Rahul,422108,Soumya Sarkar,436677,"Soumya Sarkar to Rahul, no run short on off stump, Rahul backs away for a flat-batted thwack back down the pitch short-hopping Soumya. Clearly not content with his role in a 170-run and counting opening stand....",1st innings,27.2,no run,170,0,170/0,"Soumya Sarkar to Rahul, no run",,"short on off stump, Rahul backs away for a flat-batted thwack back down the pitch short-hopping Soumya. Clearly not content with his role in a 170-run and counting opening stand....",0
167,165,KL Rahul,422108,Soumya Sarkar,436677,"Soumya Sarkar to Rahul, 1 run fullish length wide outside off, goes back and across to cut hard straight to the cover sweeper.",1st innings,27.3,run,171,1,171/0,"Soumya Sarkar to Rahul, 1 run",,"fullish length wide outside off, goes back and across to cut hard straight to the cover sweeper.",0
168,165,Rohit Sharma,34102,Soumya Sarkar,436677,"Soumya Sarkar to Sharma, 1 wide bouncer on off, way over Rohit at 117 kph, doesn't even duck and it clears him by two yards.",1st innings,27.3,wide,172,1,172/0,"Soumya Sarkar to Sharma, 1 wide",,"bouncer on off, way over Rohit at 117 kph, doesn't even duck and it clears him by two yards.",0
169,166,Rohit Sharma,34102,Soumya Sarkar,436677,"Soumya Sarkar to Sharma, no run short of a length on off, punched off the back foot to extra cover.",1st innings,27.4,no run,172,0,172/0,"Soumya Sarkar to Sharma, no run",,"short of a length on off, punched off the back foot to extra cover.",0
170,167,Rohit Sharma,34102,Soumya Sarkar,436677,"Soumya Sarkar to Sharma, 1 run slower ball at 105 kph full and wide on sixth stump, driven square to the sweeper.",1st innings,27.5,run,173,1,173/0,"Soumya Sarkar to Sharma, 1 run",,"slower ball at 105 kph full and wide on sixth stump, driven square to the sweeper.",0
171,168,KL Rahul,422108,Soumya Sarkar,436677,"Soumya Sarkar to Rahul, no run good length on fifth stump, shuffles across to punch to mid-on.",1st innings,27.6,no run,173,0,173/0,"Soumya Sarkar to Rahul, no run",,"good length on fifth stump, shuffles across to punch to mid-on.",0
172,169,Rohit Sharma,34102,Shakib Al Hasan,56143,"Shakib Al Hasan to Sharma, no run fullish length on fifth stump, pushed softly to cover.",1st innings,28.1,no run,173,0,173/0,"Shakib Al Hasan to Sharma, no run",,"fullish length on fifth stump, pushed softly to cover.",0
173,170,Rohit Sharma,34102,Shakib Al Hasan,56143,"Shakib Al Hasan to Sharma, no run <strong>nearly bowled him!</strong> Good length ball on fourth stump, Rohit goes back to punch and the ball stays low, the ball holds it's line on fourth stump though and just whispers past the stumps.",1st innings,28.2,no run,173,0,173/0,"Shakib Al Hasan to Sharma, no run",,"<strong>nearly bowled him!</strong> Good length ball on fourth stump, Rohit goes back to punch and the ball stays low, the ball holds it's line on fourth stump though and just whispers past the stumps.",0
174,171,Rohit Sharma,34102,Shakib Al Hasan,56143,"Shakib Al Hasan to Sharma, 1 run uses his feet to drive a full ball on off to long-off to move to 99.",1st innings,28.3,run,174,1,174/0,"Shakib Al Hasan to Sharma, 1 run",,uses his feet to drive a full ball on off to long-off to move to 99.,0
